Iter:100	 Temp:1.0	 My:-6.83E-6	 Time:10628	 ResultTime:10625	 Fitness:0	 GlobIt:1018
Iter:100	 Temp:1.0	 My:-6.83E-6	 Time:7076	 ResultTime:7071	 Fitness:0	 GlobIt:678
Iter:100	 Temp:1.0	 My:-6.83E-6	 Time:3422	 ResultTime:3416	 Fitness:0	 GlobIt:327
Iter:100	 Temp:1.0	 My:-6.83E-6	 Time:1395	 ResultTime:1387	 Fitness:0	 GlobIt:132
Iter:100	 Temp:1.0	 My:-6.83E-6	 Time:6251	 ResultTime:6249	 Fitness:0	 GlobIt:602
Iter:100	 Temp:1.0	 My:-6.83E-5	 Time:6172	 ResultTime:6165	 Fitness:0	 GlobIt:587
Iter:100	 Temp:1.0	 My:-6.83E-5	 Time:2153	 ResultTime:2148	 Fitness:0	 GlobIt:199
Iter:100	 Temp:1.0	 My:-6.83E-5	 Time:3982	 ResultTime:3979	 Fitness:0	 GlobIt:376
Iter:100	 Temp:1.0	 My:-6.83E-5	 Time:4855	 ResultTime:4850	 Fitness:0	 GlobIt:463
Iter:100	 Temp:1.0	 My:-6.83E-5	 Time:12672	 ResultTime:12665	 Fitness:0	 GlobIt:1205
Iter:100	 Temp:1.0	 My:-6.83E-4	 Time:6317	 ResultTime:6312	 Fitness:0	 GlobIt:593
Iter:100	 Temp:1.0	 My:-6.83E-4	 Time:2559	 ResultTime:2549	 Fitness:0	 GlobIt:244
Iter:100	 Temp:1.0	 My:-6.83E-4	 Time:11483	 ResultTime:11475	 Fitness:0	 GlobIt:1099
Iter:100	 Temp:1.0	 My:-6.83E-4	 Time:15406	 ResultTime:15403	 Fitness:0	 GlobIt:1478
Iter:100	 Temp:1.0	 My:-6.83E-4	 Time:3817	 ResultTime:3808	 Fitness:0	 GlobIt:365
Iter:100	 Temp:1.0	 My:-0.00683	 Time:8353	 ResultTime:8347	 Fitness:0	 GlobIt:802
Iter:100	 Temp:1.0	 My:-0.00683	 Time:6720	 ResultTime:6720	 Fitness:0	 GlobIt:644
Iter:100	 Temp:1.0	 My:-0.00683	 Time:2695	 ResultTime:2690	 Fitness:0	 GlobIt:249
Iter:100	 Temp:1.0	 My:-0.00683	 Time:13394	 ResultTime:13386	 Fitness:0	 GlobIt:1260
Iter:100	 Temp:1.0	 My:-0.00683	 Time:3998	 ResultTime:3996	 Fitness:0	 GlobIt:377
Iter:100	 Temp:4.3	 My:-6.83E-6	 Time:13407	 ResultTime:13402	 Fitness:0	 GlobIt:1270
Iter:100	 Temp:4.3	 My:-6.83E-6	 Time:60001	 ResultTime:5288	 Fitness:-1	 GlobIt:5704
Iter:100	 Temp:4.3	 My:-6.83E-6	 Time:40438	 ResultTime:40436	 Fitness:0	 GlobIt:3742
Iter:100	 Temp:4.3	 My:-6.83E-6	 Time:56397	 ResultTime:56394	 Fitness:0	 GlobIt:5213
Iter:100	 Temp:4.3	 My:-6.83E-6	 Time:60010	 ResultTime:669	 Fitness:-1	 GlobIt:5754
Iter:100	 Temp:4.3	 My:-6.83E-5	 Time:24982	 ResultTime:24971	 Fitness:0	 GlobIt:2333
Iter:100	 Temp:4.3	 My:-6.83E-5	 Time:46476	 ResultTime:46466	 Fitness:0	 GlobIt:4432
Iter:100	 Temp:4.3	 My:-6.83E-5	 Time:28283	 ResultTime:28275	 Fitness:0	 GlobIt:2714
Iter:100	 Temp:4.3	 My:-6.83E-5	 Time:31108	 ResultTime:31106	 Fitness:0	 GlobIt:2965
Iter:100	 Temp:4.3	 My:-6.83E-5	 Time:44376	 ResultTime:44372	 Fitness:0	 GlobIt:4231
Iter:100	 Temp:4.3	 My:-6.83E-4	 Time:19359	 ResultTime:19349	 Fitness:0	 GlobIt:1828
Iter:100	 Temp:4.3	 My:-6.83E-4	 Time:10622	 ResultTime:10612	 Fitness:0	 GlobIt:1002
Iter:100	 Temp:4.3	 My:-6.83E-4	 Time:15491	 ResultTime:15487	 Fitness:0	 GlobIt:1467
Iter:100	 Temp:4.3	 My:-6.83E-4	 Time:11444	 ResultTime:11439	 Fitness:0	 GlobIt:1086
Iter:100	 Temp:4.3	 My:-6.83E-4	 Time:23043	 ResultTime:23041	 Fitness:0	 GlobIt:2135
Iter:100	 Temp:4.3	 My:-0.00683	 Time:4852	 ResultTime:4843	 Fitness:0	 GlobIt:457
Iter:100	 Temp:4.3	 My:-0.00683	 Time:1886	 ResultTime:1884	 Fitness:0	 GlobIt:180
Iter:100	 Temp:4.3	 My:-0.00683	 Time:6557	 ResultTime:6553	 Fitness:0	 GlobIt:618
Iter:100	 Temp:4.3	 My:-0.00683	 Time:1393	 ResultTime:1386	 Fitness:0	 GlobIt:130
Iter:100	 Temp:4.3	 My:-0.00683	 Time:2795	 ResultTime:2791	 Fitness:0	 GlobIt:264
Iter:100	 Temp:43.0	 My:-6.83E-6	 Time:60006	 ResultTime:23169	 Fitness:-1346	 GlobIt:5636
Iter:100	 Temp:43.0	 My:-6.83E-6	 Time:60004	 ResultTime:11652	 Fitness:-1305	 GlobIt:5641
Iter:100	 Temp:43.0	 My:-6.83E-6	 Time:60005	 ResultTime:54827	 Fitness:-1415	 GlobIt:5711
Iter:100	 Temp:43.0	 My:-6.83E-6	 Time:60003	 ResultTime:49615	 Fitness:-1305	 GlobIt:5672
Iter:100	 Temp:43.0	 My:-6.83E-6	 Time:60011	 ResultTime:35669	 Fitness:-1344	 GlobIt:5677
Iter:100	 Temp:43.0	 My:-6.83E-5	 Time:60011	 ResultTime:39889	 Fitness:-984	 GlobIt:5655
Iter:100	 Temp:43.0	 My:-6.83E-5	 Time:60005	 ResultTime:43223	 Fitness:-1004	 GlobIt:5630
Iter:100	 Temp:43.0	 My:-6.83E-5	 Time:60010	 ResultTime:54162	 Fitness:-955	 GlobIt:5639
Iter:100	 Temp:43.0	 My:-6.83E-5	 Time:60005	 ResultTime:46040	 Fitness:-966	 GlobIt:5660
Iter:100	 Temp:43.0	 My:-6.83E-5	 Time:60008	 ResultTime:56677	 Fitness:-1053	 GlobIt:5671
Iter:100	 Temp:43.0	 My:-6.83E-4	 Time:53514	 ResultTime:53507	 Fitness:0	 GlobIt:5114
Iter:100	 Temp:43.0	 My:-6.83E-4	 Time:60011	 ResultTime:36482	 Fitness:-1	 GlobIt:5584
Iter:100	 Temp:43.0	 My:-6.83E-4	 Time:55415	 ResultTime:55408	 Fitness:0	 GlobIt:5274
Iter:100	 Temp:43.0	 My:-6.83E-4	 Time:51834	 ResultTime:51825	 Fitness:0	 GlobIt:4949
Iter:100	 Temp:43.0	 My:-6.83E-4	 Time:34411	 ResultTime:34404	 Fitness:0	 GlobIt:3195
Iter:100	 Temp:43.0	 My:-0.00683	 Time:12831	 ResultTime:12822	 Fitness:0	 GlobIt:1190
Iter:100	 Temp:43.0	 My:-0.00683	 Time:9213	 ResultTime:9206	 Fitness:0	 GlobIt:885
Iter:100	 Temp:43.0	 My:-0.00683	 Time:12983	 ResultTime:12982	 Fitness:0	 GlobIt:1240
Iter:100	 Temp:43.0	 My:-0.00683	 Time:8563	 ResultTime:8559	 Fitness:0	 GlobIt:814
Iter:100	 Temp:43.0	 My:-0.00683	 Time:9808	 ResultTime:9806	 Fitness:0	 GlobIt:909
Iter:100	 Temp:100.0	 My:-6.83E-6	 Time:60001	 ResultTime:33564	 Fitness:-2326	 GlobIt:5628
Iter:100	 Temp:100.0	 My:-6.83E-6	 Time:60007	 ResultTime:18800	 Fitness:-2336	 GlobIt:5638
Iter:100	 Temp:100.0	 My:-6.83E-6	 Time:60004	 ResultTime:51236	 Fitness:-2236	 GlobIt:5628
Iter:100	 Temp:100.0	 My:-6.83E-6	 Time:60005	 ResultTime:5573	 Fitness:-2265	 GlobIt:5679
Iter:100	 Temp:100.0	 My:-6.83E-6	 Time:60001	 ResultTime:28438	 Fitness:-2285	 GlobIt:5523
Iter:100	 Temp:100.0	 My:-6.83E-5	 Time:60003	 ResultTime:47563	 Fitness:-2185	 GlobIt:5700
Iter:100	 Temp:100.0	 My:-6.83E-5	 Time:60002	 ResultTime:39968	 Fitness:-2077	 GlobIt:5680
Iter:100	 Temp:100.0	 My:-6.83E-5	 Time:60007	 ResultTime:56469	 Fitness:-2098	 GlobIt:5632
Iter:100	 Temp:100.0	 My:-6.83E-5	 Time:60009	 ResultTime:56710	 Fitness:-2127	 GlobIt:5555
Iter:100	 Temp:100.0	 My:-6.83E-5	 Time:60011	 ResultTime:59199	 Fitness:-1988	 GlobIt:5549
Iter:100	 Temp:100.0	 My:-6.83E-4	 Time:60001	 ResultTime:52484	 Fitness:-1	 GlobIt:5677
Iter:100	 Temp:100.0	 My:-6.83E-4	 Time:55604	 ResultTime:55594	 Fitness:0	 GlobIt:5168
Iter:100	 Temp:100.0	 My:-6.83E-4	 Time:60010	 ResultTime:51374	 Fitness:-1	 GlobIt:5563
Iter:100	 Temp:100.0	 My:-6.83E-4	 Time:60008	 ResultTime:53983	 Fitness:-1	 GlobIt:5622
Iter:100	 Temp:100.0	 My:-6.83E-4	 Time:49282	 ResultTime:49273	 Fitness:0	 GlobIt:4652
Iter:100	 Temp:100.0	 My:-0.00683	 Time:9969	 ResultTime:9965	 Fitness:0	 GlobIt:939
Iter:100	 Temp:100.0	 My:-0.00683	 Time:11772	 ResultTime:11764	 Fitness:0	 GlobIt:1088
Iter:100	 Temp:100.0	 My:-0.00683	 Time:6601	 ResultTime:6595	 Fitness:0	 GlobIt:622
Iter:100	 Temp:100.0	 My:-0.00683	 Time:11081	 ResultTime:11075	 Fitness:0	 GlobIt:1040
Iter:100	 Temp:100.0	 My:-0.00683	 Time:8104	 ResultTime:8100	 Fitness:0	 GlobIt:770
Iter:1000	 Temp:1.0	 My:-6.83E-6	 Time:836	 ResultTime:779	 Fitness:0	 GlobIt:8
Iter:1000	 Temp:1.0	 My:-6.83E-6	 Time:2564	 ResultTime:2472	 Fitness:0	 GlobIt:24
Iter:1000	 Temp:1.0	 My:-6.83E-6	 Time:19145	 ResultTime:19107	 Fitness:0	 GlobIt:182
Iter:1000	 Temp:1.0	 My:-6.83E-6	 Time:10754	 ResultTime:10709	 Fitness:0	 GlobIt:102
Iter:1000	 Temp:1.0	 My:-6.83E-6	 Time:11632	 ResultTime:11579	 Fitness:0	 GlobIt:111
Iter:1000	 Temp:1.0	 My:-6.83E-5	 Time:10167	 ResultTime:10152	 Fitness:0	 GlobIt:97
Iter:1000	 Temp:1.0	 My:-6.83E-5	 Time:16274	 ResultTime:16188	 Fitness:0	 GlobIt:156
Iter:1000	 Temp:1.0	 My:-6.83E-5	 Time:12148	 ResultTime:12048	 Fitness:0	 GlobIt:116
