Iter:10	 startProb:0.05	 endProb:1.0E-4	 Temp:1.6022793633376036	 My:-5.615690530014489E-5	 Time:120002	 ResultTime:117408	 Fitness:-24	 GlobIt:58282	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:1.0E-4	 Temp:1.6022793633376036	 My:-5.615690530014489E-5	 Time:120002	 ResultTime:116576	 Fitness:-17	 GlobIt:58502	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:1.0E-4	 Temp:1.6022793633376036	 My:-5.615690530014489E-5	 Time:120004	 ResultTime:113547	 Fitness:-24	 GlobIt:58210	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:1.0E-4	 Temp:1.6022793633376036	 My:-5.615690530014489E-5	 Time:120002	 ResultTime:116531	 Fitness:-21	 GlobIt:58363	 Hard broken:0
Iter:10	 startProb:0.05	 endProb:1.0E-4	 Temp:1.6022793633376036	 My:-5.615690530014489E-5	 Time:120002	 ResultTime:115911	 Fitness:-23	 GlobIt:58017	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:0.01	 Temp:2.0846135131356087	 My:-3.4657359027997264E-5	 Time:120002	 ResultTime:101015	 Fitness:-30	 GlobIt:57406	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:0.01	 Temp:2.0846135131356087	 My:-3.4657359027997264E-5	 Time:120001	 ResultTime:107349	 Fitness:-28	 GlobIt:57586	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:0.01	 Temp:2.0846135131356087	 My:-3.4657359027997264E-5	 Time:120002	 ResultTime:119770	 Fitness:-30	 GlobIt:57463	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:0.01	 Temp:2.0846135131356087	 My:-3.4657359027997264E-5	 Time:120002	 ResultTime:113667	 Fitness:-31	 GlobIt:57279	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:0.01	 Temp:2.0846135131356087	 My:-3.4657359027997264E-5	 Time:120002	 ResultTime:111556	 Fitness:-33	 GlobIt:57507	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:0.01	 Temp:2.0846135131356087	 My:-3.4657359027997264E-5	 Time:120002	 ResultTime:116137	 Fitness:-30	 GlobIt:57145	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:0.01	 Temp:2.0846135131356087	 My:-3.4657359027997264E-5	 Time:120001	 ResultTime:118490	 Fitness:-28	 GlobIt:57458	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:0.01	 Temp:2.0846135131356087	 My:-3.4657359027997264E-5	 Time:120002	 ResultTime:103494	 Fitness:-30	 GlobIt:57077	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:0.01	 Temp:2.0846135131356087	 My:-3.4657359027997264E-5	 Time:120002	 ResultTime:118168	 Fitness:-24	 GlobIt:57503	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:0.001	 Temp:2.0846135131356087	 My:-5.493061443340548E-5	 Time:120002	 ResultTime:117301	 Fitness:-30	 GlobIt:57669	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:0.001	 Temp:2.0846135131356087	 My:-5.493061443340548E-5	 Time:120001	 ResultTime:115187	 Fitness:-19	 GlobIt:57883	 Hard broken:0
