 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:60	 Time:120008	 ResultTime:112020	 Fitness:-4212	 Generations:8376	 Hard broken:1
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:60	 Time:120009	 ResultTime:119602	 Fitness:-8249	 Generations:8258	 Hard broken:2
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:60	 Time:120012	 ResultTime:115223	 Fitness:-8216	 Generations:8236	 Hard broken:2
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:60	 Time:120014	 ResultTime:119624	 Fitness:-8202	 Generations:8305	 Hard broken:2
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:60	 Time:120004	 ResultTime:112184	 Fitness:-4205	 Generations:8260	 Hard broken:1
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:60	 Time:120004	 ResultTime:109437	 Fitness:-212	 Generations:8284	 Hard broken:0
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:60	 Time:120004	 ResultTime:98240	 Fitness:-4203	 Generations:8224	 Hard broken:1
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:60	 Time:120010	 ResultTime:80508	 Fitness:-4188	 Generations:8182	 Hard broken:1
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:60	 Time:120016	 ResultTime:93493	 Fitness:-4186	 Generations:8087	 Hard broken:1
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:80	 Time:120004	 ResultTime:86151	 Fitness:-36233	 Generations:32831	 Hard broken:10
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:80	 Time:120004	 ResultTime:118991	 Fitness:-16241	 Generations:32877	 Hard broken:5
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:80	 Time:120004	 ResultTime:96362	 Fitness:-3223	 Generations:32898	 Hard broken:2
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:80	 Time:120004	 ResultTime:98977	 Fitness:-10198	 Generations:32780	 Hard broken:3
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:80	 Time:120002	 ResultTime:115859	 Fitness:-12218	 Generations:32581	 Hard broken:4
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:80	 Time:120004	 ResultTime:106268	 Fitness:-2211	 Generations:33910	 Hard broken:1
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:80	 Time:120001	 ResultTime:115920	 Fitness:-8212	 Generations:33192	 Hard broken:3
